Code,CA-AB,CA-BC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-NU,CA-ON,CA-PE,CA-QC,CA-SK,CA-YT
blujay,558,47,298,213,99,0,1039,0,4121,93,2857,169,0
x00622,0,0,0,0,0,0,0,0,0,0,0,0,0
flsjay,0,0,0,0,0,0,0,0,0,0,0,0,0
cowscj1,0,35,0,0,0,0,0,0,0,0,0,0,0
x00964,0,1,0,0,0,0,0,0,0,0,0,0,0
wooscj2,0,0,0,0,0,0,0,0,0,0,0,0,0
bkbmag1,3268,630,157,0,0,7,0,0,1,0,0,504,31
clanut,52,50,0,0,0,0,0,0,0,0,0,0,0
eurjac,0,0,0,0,0,0,0,0,0,0,0,0,0
amecro,146,10996,350,1329,728,0,4081,0,30494,243,17937,25,0
fiscro,0,0,0,0,0,0,0,0,2,0,0,0,0
chirav,0,0,0,0,0,0,0,0,0,0,0,0,0
hoocro1,0,0,0,0,0,0,0,0,0,0,0,0,0
piecro1,0,0,0,0,0,0,0,0,0,0,0,0,0
comrav,1663,3093,375,98,56,15,364,59,1629,56,1670,459,221
carchi,0,0,0,0,0,0,0,0,0,0,0,0,0
bkcchi,3268,3541,930,646,170,9,1942,0,13871,104,9759,730,56
x00195,0,0,0,0,0,0,0,0,0,0,0,0,0
mouchi,256,516,0,0,0,0,0,0,0,0,0,0,0
x00623,0,0,0,0,0,0,0,0,0,0,0,0,0
chbchi,0,2612,0,0,0,0,0,0,0,0,0,0,0
borchi2,263,52,10,4,47,1,33,0,15,8,109,19,58
gyhchi,0,0,0,0,0,0,0,0,0,0,0,0,0
blutit,0,0,0,0,0,0,0,0,0,0,0,0,0
tuftit,0,0,0,3,0,0,0,0,129,0,197,0,0
gretit1,0,0,0,0,0,0,0,0,0,0,0,0,0
horlar,306,24,54,29,0,0,442,0,7043,113,2589,128,0
skylar,0,0,0,0,0,0,0,0,0,0,0,0,0
nrwswa,0,0,0,0,0,0,0,0,0,0,0,0,0
purmar,0,0,0,0,0,0,0,0,0,0,0,0,0
treswa,0,7,0,0,0,0,0,0,0,0,0,0,0
vigswa,0,0,0,0,0,0,0,0,0,0,0,0,0
banswa,0,0,0,0,0,0,0,0,0,0,0,0,0
barswa,0,39,0,0,0,0,0,0,0,0,0,0,0
cliswa,0,0,0,0,0,0,0,0,0,0,0,0,0
x00717,0,0,0,0,0,0,0,0,0,0,0,0,0
x00661,0,0,0,0,0,0,0,0,0,0,0,0,0
cavswa,0,0,0,0,0,0,0,0,0,0,0,0,0
colfin1,0,0,0,0,0,0,0,0,0,0,0,0,0
yebwar3,0,0,0,0,0,0,0,0,0,0,0,0,0
arcwar1,0,0,0,0,0,0,0,0,0,0,0,0,0
bushti,0,1954,0,0,0,0,0,0,0,0,0,0,0
ruckin,0,425,0,0,0,0,0,0,0,0,0,0,0
gockin,35,2554,0,15,21,0,125,0,234,1,17,0,0
rebnut,650,1270,80,56,8,0,129,0,1143,7,376,239,8
whbnut,345,19,252,58,2,0,168,0,2601,5,1465,61,0
pygnut,0,342,0,0,0,0,0,0,0,0,0,0,0
brncre,60,438,2,19,7,0,31,0,253,2,119,10,0
buggna,0,0,0,0,0,0,0,0,0,0,0,0,0
rocwre,0,0,0,0,0,0,0,0,0,0,0,0,0
canwre,0,14,0,0,0,0,0,0,0,0,0,0,0
houwre,0,0,0,0,0,0,0,0,0,0,0,0,0
pacwre1,0,696,0,0,0,0,0,0,0,0,0,0,0
winwre3,0,0,0,1,0,0,0,0,43,0,5,0,0
sedwre1,0,0,0,0,0,0,0,0,0,0,0,0,0
marwre,0,66,0,0,0,0,0,0,0,0,0,0,0
carwre,0,0,0,3,0,0,0,0,260,0,32,0,0
bewwre,0,470,0,0,0,0,0,0,0,0,0,0,0
amedip,22,135,0,0,0,0,0,0,0,0,0,0,12
hilmyn,0,0,0,0,0,0,0,0,0,0,0,0,0
eursta,315,14398,100,730,1036,0,8878,0,36570,2136,13756,90,0
commyn,0,0,0,0,0,0,0,0,0,0,0,0,0
cremyn,0,0,0,0,0,0,0,0,0,0,0,0,0
grycat,0,0,0,0,0,0,1,0,2,0,0,0,0
cubthr,0,0,0,0,0,0,0,0,0,0,0,0,0
brnthr,0,0,0,0,0,0,0,0,3,0,1,0,0
sagthr,0,0,0,0,0,0,0,0,0,0,0,0,0
normoc,0,1,0,0,3,0,16,0,56,0,8,0,0
easblu,0,0,0,0,0,0,9,0,495,0,24,0,0
wesblu,0,70,0,0,0,0,0,0,0,0,0,0,0
moublu,6,0,0,0,0,0,0,0,0,0,0,0,0
x00864,0,0,0,0,0,0,0,0,0,0,0,0,0
towsol,24,115,0,0,0,0,0,0,0,0,0,0,0
varthr,0,737,0,0,0,0,0,0,0,0,0,1,0
veery,0,0,0,0,0,0,0,0,0,0,0,0,0
gycthr,0,0,0,0,0,0,0,0,0,0,0,0,0
bicthr,0,0,0,0,0,0,0,0,0,0,0,0,0
swathr,0,0,0,0,0,0,0,0,0,0,0,0,0
herthr,0,35,0,1,1,0,1,0,20,0,5,0,0
woothr,0,0,0,0,0,0,0,0,0,0,0,0,0
misthr1,0,0,0,0,0,0,0,0,0,0,0,0,0
sonthr1,0,0,0,0,0,0,0,0,0,0,0,0,0
redwin,0,0,0,0,0,0,0,0,0,0,0,0,0
eurbla,0,0,0,0,0,0,0,0,0,0,0,0,0
amerob,179,7573,8,9,19,0,572,0,4056,0,1495,32,0
fieldf,0,0,0,0,0,0,0,0,0,0,0,0,0
dusthr2,0,0,0,0,0,0,0,0,0,0,0,0,0
blueth,0,0,0,0,0,0,0,0,0,0,0,0,0
sibrub,0,0,0,0,0,0,0,0,0,0,0,0,0
refblu,0,0,0,0,0,0,0,0,0,0,0,0,0
norwhe,0,0,0,0,0,0,0,0,0,0,0,0,0
bohwax,19365,25124,2363,378,628,100,1452,0,9070,0,8289,2010,0
cedwax,42,83,84,28,5,0,61,0,1210,7,55,56,0
phaino,0,0,0,0,0,0,0,0,0,0,0,0,0
rebque1,0,0,0,0,0,0,0,0,0,0,0,0,0
orabis1,0,0,0,0,0,0,0,0,0,0,0,0,0
redbis,0,0,0,0,0,0,0,0,0,0,0,0,0
dobfin1,0,0,0,0,0,0,0,0,0,0,0,0,0
zebfin2,0,0,0,0,0,0,0,0,0,0,0,0,0
javspa,0,0,0,0,0,0,0,0,0,0,0,0,0
nutman,0,0,0,0,0,0,0,0,0,0,0,0,0
whrmun,0,0,0,0,0,0,0,0,0,0,0,0,0
goufin3,0,0,0,0,0,0,0,0,0,0,0,0,0
comwax,0,0,0,0,0,0,0,0,0,0,0,0,0
redava,0,0,0,0,0,0,0,0,0,0,0,0,0
reccor,0,0,0,0,0,0,0,0,0,0,0,0,0
sibacc,0,0,0,0,0,0,0,0,0,0,0,0,0
houspa,4223,2981,1007,75,193,0,257,0,10058,5,4262,2406,0
eutspa,0,0,0,0,0,0,0,0,0,0,0,0,0
x00754,0,0,0,0,0,0,0,0,0,0,0,0,0
eaywag,0,0,0,0,0,0,0,0,0,0,0,0,0
citwag,0,0,0,0,0,0,0,0,0,0,0,0,0
whiwag,0,0,0,0,0,0,0,0,0,0,0,0,0
retpip,0,0,0,0,0,0,0,0,0,0,0,0,0
amepip,0,11,0,0,3,0,26,0,3,0,0,0,0
sprpip,0,0,0,0,0,0,0,0,0,0,0,0,0
comcha,0,0,0,0,0,0,0,0,0,0,0,0,0
brambl,0,0,0,0,0,0,0,0,0,0,0,0,0
evegro,77,322,253,215,352,0,763,0,1961,0,2550,86,0
hawfin,0,0,0,0,0,0,0,0,0,0,0,0,0
pingro,83,145,145,133,61,2,5,0,2234,1,3757,63,112
eurbul,0,0,0,0,0,0,0,0,0,0,0,0,0
gcrfin,0,333,0,0,0,0,0,0,0,0,0,0,0
houfin,948,2735,171,7,0,0,6,0,2386,0,1220,177,0
purfin,2,494,11,13,14,0,32,0,60,1,41,7,0
casfin,0,223,0,0,0,0,0,0,0,0,0,0,0
eurgre1,0,0,0,0,0,0,0,0,0,0,0,0,0
origre,0,0,0,0,0,0,0,0,0,0,0,0,0
yefcan,0,0,0,0,0,0,0,0,0,0,0,0,0
comred,28,81,224,129,161,0,1,0,486,0,2605,69,232
hoared,1,0,1,0,2,2,0,0,2,0,34,1,1
x00625,0,0,0,0,0,0,0,0,0,0,0,0,0
redcro,112,1925,0,0,43,0,11,0,134,0,13,30,39
whwcro,742,622,15,0,0,0,12,0,40,2,8,59,300
eurgol,0,0,0,0,0,0,0,0,0,0,0,0,0
comcan,0,0,0,0,0,0,0,0,0,0,0,0,0
eursis,0,0,0,0,0,0,0,0,0,0,0,0,0
pinsis,240,3755,16,37,37,0,56,0,406,2,2102,19,0
lesgol,0,0,0,0,0,0,0,0,0,0,0,0,0
amegfi,50,1245,154,271,826,0,1639,0,5824,124,4105,33,0
x00905,0,0,0,0,0,0,0,0,0,0,0,0,0
laplon,101,2,0,2,0,0,14,0,203,57,83,0,0
chclon,0,0,0,0,0,0,0,0,0,0,0,0,0
smilon,0,0,0,0,0,0,0,0,0,0,0,0,0
mcclon,0,0,0,0,0,0,0,0,0,0,0,0,0
snobun,4206,523,2044,184,41,0,635,0,33285,157,13408,1218,0
x00919,0,0,0,0,0,0,0,0,0,0,0,0,0
mckbun,0,0,0,0,0,0,0,0,0,0,0,0,0
pinbun,0,0,0,0,0,0,0,0,0,0,0,0,0
yebbun,0,0,0,0,0,0,0,0,0,0,0,0,0
rusbun,0,0,0,0,0,0,0,0,0,0,0,0,0
casspa,0,0,0,0,0,0,0,0,0,0,0,0,0
bacspa,0,0,0,0,0,0,0,0,0,0,0,0,0
graspa,0,0,0,0,0,0,0,0,0,0,0,0,0
chispa,0,0,0,3,0,0,7,0,1,0,5,0,0
clcspa,0,0,0,0,0,0,1,0,0,0,0,0,0
x00198,0,0,0,0,0,0,0,0,0,0,0,0,0
fiespa,0,0,0,1,0,0,2,0,7,0,0,0,0
x00976,0,0,0,0,0,0,0,0,0,0,0,0,0
x00200,0,0,0,0,0,0,0,0,0,0,0,0,0
brespa,0,0,0,22,0,0,0,0,0,0,0,0,0
bktspa,0,0,0,0,0,0,0,0,0,0,0,0,0
larspa,0,0,0,0,0,0,0,0,0,0,0,0,0
larbun,0,0,0,0,0,0,0,0,0,0,0,0,0
amtspa,39,34,0,176,3,0,240,0,4557,2,966,0,0
foxspa,0,510,0,0,1,0,3,0,13,0,0,0,0
daejun,557,10279,99,335,934,0,927,0,8476,103,2180,38,7
whcspa,0,871,0,0,0,0,2,0,141,0,5,0,0
gocspa,0,1865,0,0,0,0,1,0,0,0,0,0,0
x00053,0,0,0,0,0,0,0,0,0,0,0,0,0
harspa,0,4,0,0,1,0,0,0,10,0,0,3,0
whtspa,8,79,9,45,6,0,221,0,367,4,173,2,0
x00451,0,0,0,0,0,0,0,0,0,0,0,0,0
x00720,0,0,0,0,0,0,0,0,0,0,0,0,0
x00039,0,0,0,0,0,0,0,0,0,0,0,0,0
sagspa1,0,0,0,0,0,0,0,0,0,0,0,0,0
belspa2,0,0,0,0,0,0,0,0,0,0,0,0,0
vesspa,0,0,0,0,0,0,0,0,0,0,3,0,0
lecspa,0,0,0,0,0,0,0,0,0,0,0,0,0
seaspa,0,0,0,0,0,0,0,0,0,0,0,0,0
nstspa,0,0,0,0,0,0,0,0,0,0,0,0,0
sstspa,0,0,0,0,0,0,0,0,0,0,0,0,0
savspa,0,21,0,1,0,0,36,0,3,0,1,0,0
baispa,0,0,0,0,0,0,0,0,0,0,0,0,0
henspa,0,0,0,0,0,0,0,0,0,0,0,0,0
sonspa,1,2485,0,39,19,0,456,0,238,6,58,0,0
linspa,0,27,0,2,0,0,0,0,0,0,9,0,0
x00474,0,0,0,0,0,0,0,0,0,0,0,0,0
swaspa,0,6,0,4,0,0,21,0,26,2,0,0,0
gnttow,0,0,0,0,0,0,0,0,0,0,0,0,0
spotow,0,1792,3,0,0,0,0,0,0,0,0,0,0
eastow,0,0,2,1,0,0,6,0,2,1,0,0,0
x00446,0,0,0,0,0,0,0,0,0,0,0,0,0
yebcha,0,0,0,1,0,0,5,0,0,0,0,0,0
yehbla,0,1,0,0,0,0,0,0,17,0,0,0,0
boboli,0,0,0,0,0,0,0,0,0,0,0,0,0
wesmea,0,83,0,0,0,0,5,0,0,0,0,0,0
easmea,0,0,0,0,0,0,0,0,3,0,0,0,0
x00827,0,0,0,0,0,0,0,0,0,0,0,0,0
orcori,0,0,0,0,0,0,0,0,0,0,0,0,0
hooori,0,0,0,0,0,0,0,0,0,0,0,0,0
stbori,0,0,0,0,0,0,0,0,0,0,0,0,0
bulori,0,0,0,0,0,0,0,0,0,0,0,0,0
balori,0,0,0,0,0,0,4,0,0,0,0,0,0
x00013,0,0,0,0,0,0,0,0,0,0,0,0,0
scoori,0,0,0,0,0,0,0,0,0,0,0,0,0
rewbla,0,4680,15,34,1,0,72,0,3065,0,55,0,0
shicow,0,0,0,0,0,0,0,0,0,0,0,0,0
brocow,0,0,0,0,0,0,0,0,0,0,0,0,0
bnhcow,0,7,0,0,0,0,19,0,4698,1,26,0,0
rusbla,0,0,1,7,0,0,0,0,93,0,4,0,0
brebla,0,1844,0,0,0,0,0,0,0,0,0,0,0
comgra,0,0,3,4,9,0,16,0,945,1,33,0,0
grtgra,0,0,0,0,0,0,0,0,0,0,0,0,0
ovenbi1,0,0,0,0,0,0,2,0,0,0,0,0,0
woewar1,0,0,0,0,0,0,0,0,0,0,0,0,0
louwat,0,0,0,0,0,0,0,0,0,0,0,0,0
norwat,0,0,0,0,0,0,0,0,0,0,0,0,0
gowwar,0,0,0,0,0,0,0,0,0,0,0,0,0
buwwar,0,0,0,0,0,0,0,0,0,0,0,0,0
x00669,0,0,0,0,0,0,0,0,0,0,0,0,0
brewar,0,0,0,0,0,0,0,0,0,0,0,0,0
lawwar,0,0,0,0,0,0,0,0,0,0,0,0,0
bawwar,0,0,0,0,0,0,0,0,0,0,0,0,0
prowar,0,0,0,0,0,0,0,0,0,0,0,0,0
swawar,0,0,0,0,0,0,0,0,0,0,0,0,0
tenwar,0,0,0,0,0,0,0,0,0,0,0,0,0
orcwar,0,5,0,1,3,0,2,0,0,0,0,0,0
lucwar,0,0,0,0,0,0,0,0,0,0,0,0,0
naswar,0,0,0,0,0,0,0,0,0,0,0,0,0
x01013,0,0,0,0,0,0,0,0,0,0,0,0,0
x00819,0,0,0,0,0,0,0,0,0,0,0,0,0
virwar,0,0,0,0,0,0,0,0,0,0,0,0,0
conwar,0,0,0,0,0,0,0,0,0,0,0,0,0
macwar,0,0,0,0,0,0,0,0,0,0,0,0,0
mouwar,0,0,0,0,0,0,0,0,0,0,0,0,0
x00699,0,0,0,0,0,0,0,0,0,0,0,0,0
kenwar,0,0,0,0,0,0,0,0,0,0,0,0,0
comyel,0,0,0,0,0,0,1,0,0,0,0,0,0
x00749,0,0,0,0,0,0,0,0,0,0,0,0,0
hoowar,0,0,0,0,0,0,0,0,0,0,0,0,0
amered,0,0,0,0,0,0,0,0,0,0,0,0,0
kirwar,0,0,0,0,0,0,0,0,0,0,0,0,0
camwar,0,0,0,0,0,0,0,0,0,0,0,0,0
cerwar,0,0,0,0,0,0,0,0,0,0,0,0,0
norpar,0,0,0,0,0,0,0,0,0,0,0,0,0
magwar,0,0,0,0,0,0,0,0,0,0,0,0,0
x00820,0,0,0,0,0,0,0,0,0,0,0,0,0
babwar,0,0,0,0,0,0,0,0,0,0,0,0,0
bkbwar,0,0,0,0,0,0,0,0,0,0,0,0,0
yelwar,0,0,0,0,0,0,0,0,0,0,0,0,0
chswar,0,0,0,0,0,0,0,0,0,0,0,0,0
x00772,0,0,0,0,0,0,0,0,0,0,0,0,0
bkpwar,0,0,0,0,0,0,0,0,0,0,0,0,0
btbwar,0,0,0,0,0,0,0,0,0,0,0,0,0
x00978,0,0,0,0,0,0,0,0,0,0,0,0,0
palwar,0,0,0,0,0,0,1,0,0,0,0,0,0
pinwar,0,0,0,0,0,0,8,0,0,0,0,0,0
yerwar,0,60,0,0,0,0,121,0,8,1,0,0,0
x00773,0,0,0,0,0,0,0,0,0,0,0,0,0
x00461,0,0,0,0,0,0,0,0,0,0,0,0,0
yetwar,0,0,0,0,2,0,1,0,0,0,0,0,0
prawar,0,0,0,0,0,0,1,0,0,0,0,0,0
grawar,0,0,0,0,0,0,0,0,0,0,0,0,0
btywar,0,0,0,0,0,0,0,0,0,0,0,0,0
towwar,0,1,0,0,0,0,1,0,0,0,0,0,0
x00867,0,0,0,0,0,0,0,0,0,0,0,0,0
herwar,0,0,0,0,0,0,0,0,0,0,0,0,0
x00059,0,0,0,0,0,0,0,0,0,0,0,0,0
btnwar,0,0,0,0,0,0,0,0,0,0,0,0,0
x00664,0,0,0,0,0,0,0,0,0,0,0,0,0
canwar,0,0,0,0,0,0,0,0,0,0,0,0,0
wlswar,0,0,0,0,0,0,0,0,0,0,0,0,0
paired,0,0,0,0,0,0,0,0,0,0,0,0,0
heptan,0,0,0,0,0,0,0,0,0,0,0,0,0
sumtan,0,0,0,0,0,0,0,0,0,0,0,0,0
scatan,0,0,0,0,0,0,0,0,0,0,0,0,0
westan,0,0,0,0,0,0,1,0,0,0,0,0,0
norcar,0,0,10,91,2,0,304,0,4326,3,1599,0,0
pyrrhu,0,0,0,0,0,0,0,0,0,0,0,0,0
robgro,0,0,0,0,0,0,0,0,0,0,0,0,0
bkhgro,0,0,0,0,0,0,0,0,0,0,0,0,0
x00448,0,0,0,0,0,0,0,0,0,0,0,0,0
blugrb1,0,0,0,0,0,0,0,0,0,0,0,0,0
lazbun,0,0,0,0,0,0,0,0,0,0,0,0,0
indbun,0,0,0,0,0,0,0,0,0,0,0,0,0
ixlbun,0,0,0,0,0,0,0,0,0,0,0,0,0
varbun,0,0,0,0,0,0,0,0,0,0,0,0,0
paibun,0,0,0,0,0,0,0,0,0,0,0,0,0
dickci,0,0,0,1,0,0,0,0,0,0,0,0,0
reccar,0,0,0,0,0,0,0,0,0,0,0,0,0
saffin,0,0,0,0,0,0,0,0,0,0,0,0,0
lessee2,0,0,0,0,0,0,0,0,0,0,0,0,0
