"Code","Common.Name","Scientific.Name"
"pelcor","Pelagic Cormorant","Urile pelagicus"
"grecor","Great Cormorant","Phalacrocorax carbo"
"doccor","Double-crested Cormorant","Nannopterum auritum"
"neocor","Neotropic Cormorant","Nannopterum brasilianum"
"amwpel","American White Pelican","Pelecanus erythrorhynchos"
"brnpel","Brown Pelican","Pelecanus occidentalis"
"grwpel1","Great White Pelican","Pelecanus onocrotalus"
"amebit","American Bittern","Botaurus lentiginosus"
"leabit","Least Bittern","Ixobrychus exilis"
"grbher3","Great Blue Heron","Ardea herodias"
"graher1","Gray Heron","Ardea cinerea"
"greegr","Great Egret","Ardea alba"
"litegr","Little Egret","Egretta garzetta"
"werher","Western Reef-Heron","Egretta gularis"
"snoegr","Snowy Egret","Egretta thula"
"libher","Little Blue Heron","Egretta caerulea"
"triher","Tricolored Heron","Egretta tricolor"
"redegr","Reddish Egret","Egretta rufescens"
"categr","Cattle Egret","Bubulcus ibis"
"grnher","Green Heron","Butorides virescens"
"bcnher","Black-crowned Night-Heron","Nycticorax nycticorax"
"ycnher","Yellow-crowned Night-Heron","Nyctanassa violacea"
"whiibi","White Ibis","Eudocimus albus"
"gloibi","Glossy Ibis","Plegadis falcinellus"
"whfibi","White-faced Ibis","Plegadis chihi"
"gxwibi1","Glossy x White-faced Ibis (hybrid)","Plegadis falcinellus x chihi"
"rosspo1","Roseate Spoonbill","Platalea ajaja"
"blkvul","Black Vulture","Coragyps atratus"
"turvul","Turkey Vulture","Cathartes aura"
"osprey","Osprey","Pandion haliaetus"
"whtkit","White-tailed Kite","Elanus leucurus"
"swtkit","Swallow-tailed Kite","Elanoides forficatus"
"goleag","Golden Eagle","Aquila chrysaetos"
"miskit","Mississippi Kite","Ictinia mississippiensis"
"norhar2","Northern Harrier","Circus hudsonius"
"shshaw","Sharp-shinned Hawk","Accipiter striatus"
"coohaw","Cooper's Hawk","Accipiter cooperii"
"norgos","Northern Goshawk","Accipiter gentilis"
"baleag","Bald Eagle","Haliaeetus leucocephalus"
"stseag","Steller's Sea-Eagle","Haliaeetus pelagicus"
"hrshaw","Harris's Hawk","Parabuteo unicinctus"
"reshaw","Red-shouldered Hawk","Buteo lineatus"
"brwhaw","Broad-winged Hawk","Buteo platypterus"
"swahaw","Swainson's Hawk","Buteo swainsoni"
"zothaw","Zone-tailed Hawk","Buteo albonotatus"
"rethaw","Red-tailed Hawk","Buteo jamaicensis"
"x00686","Red-shouldered x Red-tailed Hawk (hybrid)","Buteo lineatus x jamaicensis"
"rolhaw","Rough-legged Hawk","Buteo lagopus"
"x00731","Red-tailed x Rough-legged Hawk (hybrid)","Buteo jamaicensis x lagopus"
"ferhaw","Ferruginous Hawk","Buteo regalis"
"brnowl","Barn Owl","Tyto alba"
"flaowl","Flammulated Owl","Psiloscops flammeolus"
"wesowl1","Western Screech-Owl","Megascops kennicottii"
"easowl1","Eastern Screech-Owl","Megascops asio"
"snoowl1","Snowy Owl","Bubo scandiacus"
"grhowl","Great Horned Owl","Bubo virginianus"
"nohowl","Northern Hawk Owl","Surnia ulula"
"nopowl","Northern Pygmy-Owl","Glaucidium gnoma"
"burowl","Burrowing Owl","Athene cunicularia"
"spoowl","Spotted Owl","Strix occidentalis"
"brdowl","Barred Owl","Strix varia"
"grgowl","Great Gray Owl","Strix nebulosa"
"loeowl","Long-eared Owl","Asio otus"
"sheowl","Short-eared Owl","Asio flammeus"
"borowl","Boreal Owl","Aegolius funereus"
"nswowl","Northern Saw-whet Owl","Aegolius acadicus"
"belkin1","Belted Kingfisher","Megaceryle alcyon"
"ncbeat1","Northern Carmine Bee-eater","Merops nubicus"
"wilsap","Williamson's Sapsucker","Sphyrapicus thyroideus"
"yebsap","Yellow-bellied Sapsucker","Sphyrapicus varius"
"rensap","Red-naped Sapsucker","Sphyrapicus nuchalis"
"x00634","Yellow-bellied x Red-naped Sapsucker (hybrid)","Sphyrapicus varius x nuchalis"
"rebsap","Red-breasted Sapsucker","Sphyrapicus ruber"
"x00712","Yellow-bellied x Red-breasted Sapsucker (hybrid)","Sphyrapicus varius x ruber"
"rnxsap1","Red-naped x Red-breasted Sapsucker (hybrid)","Sphyrapicus nuchalis x ruber"
"lewwoo","Lewis's Woodpecker","Melanerpes lewis"
"rehwoo","Red-headed Woodpecker","Melanerpes erythrocephalus"
"acowoo","Acorn Woodpecker","Melanerpes formicivorus"
"rebwoo","Red-bellied Woodpecker","Melanerpes carolinus"
"attwoo1","American Three-toed Woodpecker","Picoides dorsalis"
"bkbwoo","Black-backed Woodpecker","Picoides arcticus"
"dowwoo","Downy Woodpecker","Dryobates pubescens"
"haiwoo","Hairy Woodpecker","Dryobates villosus"
"whhwoo","White-headed Woodpecker","Dryobates albolarvatus"
"pilwoo","Pileated Woodpecker","Dryocopus pileatus"
"norfli","Northern Flicker","Colaptes auratus"
"y00678","Crested Caracara","Caracara plancus"
"eurkes","Eurasian Kestrel","Falco tinnunculus"
"amekes","American Kestrel","Falco sparverius"
"merlin","Merlin","Falco columbarius"
"gyrfal","Gyrfalcon","Falco rusticolus"
"perfal","Peregrine Falcon","Falco peregrinus"
"prafal","Prairie Falcon","Falco mexicanus"
"cockat","Cockatiel","Nymphicus hollandicus"
"rorpar","Rose-ringed Parakeet","Psittacula krameri"
"rerpar1","Red-rumped Parrot","Psephotus haematonotus"
"budger","Budgerigar","Melopsittacus undulatus"
"rehlov1","Red-headed Lovebird","Agapornis pullarius"
"peflov","Rosy-faced Lovebird","Agapornis roseicollis"
"fislov1","Fischer's Lovebird","Agapornis fischeri"
"rebpar1","Red-bellied Parrot","Poicephalus rufiventris"
"monpar","Monk Parakeet","Myiopsitta monachus"
"gncpar","Green-cheeked Parakeet","Pyrrhura molinae"
"bkhpar","Nanday Parakeet","Aratinga nenday"
"mitpar","Mitred Parakeet","Psittacara mitratus"
"smbela1","Small-billed Elaenia","Elaenia parvirostris"
"olsfly","Olive-sided Flycatcher","Contopus cooperi"
"wewpew","Western Wood-Pewee","Contopus sordidulus"
"eawpew","Eastern Wood-Pewee","Contopus virens"
"yebfly","Yellow-bellied Flycatcher","Empidonax flaviventris"
"acafly","Acadian Flycatcher","Empidonax virescens"
"aldfly","Alder Flycatcher","Empidonax alnorum"
"wilfly","Willow Flycatcher","Empidonax traillii"
"leafly","Least Flycatcher","Empidonax minimus"
"hamfly","Hammond's Flycatcher","Empidonax hammondii"
"gryfly","Gray Flycatcher","Empidonax wrightii"
"dusfly","Dusky Flycatcher","Empidonax oberholseri"
"pasfly","Pacific-slope Flycatcher","Empidonax difficilis"
"corfly","Cordilleran Flycatcher","Empidonax occidentalis"
"blkpho","Black Phoebe","Sayornis nigricans"
"easpho","Eastern Phoebe","Sayornis phoebe"
"saypho","Say's Phoebe","Sayornis saya"
"verfly","Vermilion Flycatcher","Pyrocephalus rubinus"
"astfly","Ash-throated Flycatcher","Myiarchus cinerascens"
"grcfly","Great Crested Flycatcher","Myiarchus crinitus"
"grekis","Great Kiskadee","Pitangus sulphuratus"
"subfly","Sulphur-bellied Flycatcher","Myiodynastes luteiventris"
"varfly","Variegated Flycatcher","Empidonomus varius"
"trokin","Tropical Kingbird","Tyrannus melancholicus"
"caskin","Cassin's Kingbird","Tyrannus vociferans"
"thbkin","Thick-billed Kingbird","Tyrannus crassirostris"
"weskin","Western Kingbird","Tyrannus verticalis"
"easkin","Eastern Kingbird","Tyrannus tyrannus"
"x00718","Western x Eastern Kingbird (hybrid)","Tyrannus verticalis x tyrannus"
"grykin","Gray Kingbird","Tyrannus dominicensis"
"sctfly","Scissor-tailed Flycatcher","Tyrannus forficatus"
"fotfly","Fork-tailed Flycatcher","Tyrannus savana"
"bkcvir1","Black-capped Vireo","Vireo atricapilla"
"whevir","White-eyed Vireo","Vireo griseus"
"belvir","Bell's Vireo","Vireo bellii"
"hutvir","Hutton's Vireo","Vireo huttoni"
"yetvir","Yellow-throated Vireo","Vireo flavifrons"
"casvir","Cassin's Vireo","Vireo cassinii"
"buhvir","Blue-headed Vireo","Vireo solitarius"
"plsvir","Plumbeous Vireo","Vireo plumbeus"
"phivir","Philadelphia Vireo","Vireo philadelphicus"
"warvir","Warbling Vireo","Vireo gilvus"
"reevir1","Red-eyed Vireo","Vireo olivaceus"
"yegvir","Yellow-green Vireo","Vireo flavoviridis"
"rebshr1","Red-backed Shrike","Lanius collurio"
"brnshr","Brown Shrike","Lanius cristatus"
"logshr","Loggerhead Shrike","Lanius ludovicianus"
"norshr4","Northern Shrike","Lanius borealis"
"gryjay","Canada Jay","Perisoreus canadensis"
"pinjay","Pinyon Jay","Gymnorhinus cyanocephalus"
"stejay","Steller's Jay","Cyanocitta stelleri"
"blujay","Blue Jay","Cyanocitta cristata"
"x00622","Steller's x Blue Jay (hybrid)","Cyanocitta stelleri x cristata"
"flsjay","Florida Scrub-Jay","Aphelocoma coerulescens"
"cowscj1","California Scrub-Jay","Aphelocoma californica"
"x00964","Steller's Jay x California Scrub-Jay (hybrid)","Cyanocitta stelleri x Aphelocoma californica"
"wooscj2","Woodhouse's Scrub-Jay","Aphelocoma woodhouseii"
"bkbmag1","Black-billed Magpie","Pica hudsonia"
"clanut","Clark's Nutcracker","Nucifraga columbiana"
"eurjac","Eurasian Jackdaw","Corvus monedula"
"amecro","American Crow","Corvus brachyrhynchos"
"fiscro","Fish Crow","Corvus ossifragus"
"chirav","Chihuahuan Raven","Corvus cryptoleucus"
"hoocro1","Hooded Crow","Corvus cornix"
"piecro1","Pied Crow","Corvus albus"
"comrav","Common Raven","Corvus corax"
"carchi","Carolina Chickadee","Poecile carolinensis"
"bkcchi","Black-capped Chickadee","Poecile atricapillus"
"x00195","Carolina x Black-capped Chickadee (hybrid)","Poecile carolinensis x atricapillus"
"mouchi","Mountain Chickadee","Poecile gambeli"
"x00623","Black-capped x Mountain Chickadee (hybrid)","Poecile atricapillus x gambeli"
"chbchi","Chestnut-backed Chickadee","Poecile rufescens"
"borchi2","Boreal Chickadee","Poecile hudsonicus"
"gyhchi","Gray-headed Chickadee","Poecile cinctus"
"blutit","Eurasian Blue Tit","Cyanistes caeruleus"
"tuftit","Tufted Titmouse","Baeolophus bicolor"
"gretit1","Great Tit","Parus major"
"horlar","Horned Lark","Eremophila alpestris"
"skylar","Eurasian Skylark","Alauda arvensis"
"nrwswa","Northern Rough-winged Swallow","Stelgidopteryx serripennis"
"purmar","Purple Martin","Progne subis"
"treswa","Tree Swallow","Tachycineta bicolor"
"vigswa","Violet-green Swallow","Tachycineta thalassina"
"banswa","Bank Swallow","Riparia riparia"
"barswa","Barn Swallow","Hirundo rustica"
"cliswa","Cliff Swallow","Petrochelidon pyrrhonota"
"x00717","Barn x Cliff Swallow (hybrid)","Hirundo rustica x Petrochelidon pyrrhonota"
"x00661","Violet-green x Cliff Swallow (hybrid)","Tachycineta thalassina x Petrochelidon pyrrhonota"
"cavswa","Cave Swallow","Petrochelidon fulva"
"colfin1","Collared Finchbill","Spizixos semitorques"
"yebwar3","Yellow-browed Warbler","Phylloscopus inornatus"
"arcwar1","Arctic Warbler","Phylloscopus borealis"
"bushti","Bushtit","Psaltriparus minimus"
"ruckin","Ruby-crowned Kinglet","Corthylio calendula"
"gockin","Golden-crowned Kinglet","Regulus satrapa"
"rebnut","Red-breasted Nuthatch","Sitta canadensis"
"whbnut","White-breasted Nuthatch","Sitta carolinensis"
"pygnut","Pygmy Nuthatch","Sitta pygmaea"
"brncre","Brown Creeper","Certhia americana"
"buggna","Blue-gray Gnatcatcher","Polioptila caerulea"
"rocwre","Rock Wren","Salpinctes obsoletus"
"canwre","Canyon Wren","Catherpes mexicanus"
"houwre","House Wren","Troglodytes aedon"
"pacwre1","Pacific Wren","Troglodytes pacificus"
"winwre3","Winter Wren","Troglodytes hiemalis"
"sedwre1","Sedge Wren","Cistothorus stellaris"
"marwre","Marsh Wren","Cistothorus palustris"
"carwre","Carolina Wren","Thryothorus ludovicianus"
"bewwre","Bewick's Wren","Thryomanes bewickii"
"amedip","American Dipper","Cinclus mexicanus"
"hilmyn","Common Hill Myna","Gracula religiosa"
"eursta","European Starling","Sturnus vulgaris"
"commyn","Common Myna","Acridotheres tristis"
"cremyn","Crested Myna","Acridotheres cristatellus"
"grycat","Gray Catbird","Dumetella carolinensis"
"cubthr","Curve-billed Thrasher","Toxostoma curvirostre"
"brnthr","Brown Thrasher","Toxostoma rufum"
"sagthr","Sage Thrasher","Oreoscoptes montanus"
"normoc","Northern Mockingbird","Mimus polyglottos"
"easblu","Eastern Bluebird","Sialia sialis"
"wesblu","Western Bluebird","Sialia mexicana"
"moublu","Mountain Bluebird","Sialia currucoides"
"x00864","Eastern x Mountain Bluebird (hybrid)","Sialia sialis x currucoides"
"towsol","Townsend's Solitaire","Myadestes townsendi"
"varthr","Varied Thrush","Ixoreus naevius"
"veery","Veery","Catharus fuscescens"
"gycthr","Gray-cheeked Thrush","Catharus minimus"
"bicthr","Bicknell's Thrush","Catharus bicknelli"
"swathr","Swainson's Thrush","Catharus ustulatus"
"herthr","Hermit Thrush","Catharus guttatus"
"woothr","Wood Thrush","Hylocichla mustelina"
"misthr1","Mistle Thrush","Turdus viscivorus"
"sonthr1","Song Thrush","Turdus philomelos"
"redwin","Redwing","Turdus iliacus"
"eurbla","Eurasian Blackbird","Turdus merula"
"amerob","American Robin","Turdus migratorius"
"fieldf","Fieldfare","Turdus pilaris"
"dusthr2","Dusky Thrush","Turdus eunomus"
"blueth","Bluethroat","Luscinia svecica"
"sibrub","Siberian Rubythroat","Calliope calliope"
"refblu","Red-flanked Bluetail","Tarsiger cyanurus"
"norwhe","Northern Wheatear","Oenanthe oenanthe"
"bohwax","Bohemian Waxwing","Bombycilla garrulus"
"cedwax","Cedar Waxwing","Bombycilla cedrorum"
"phaino","Phainopepla","Phainopepla nitens"
"rebque1","Red-billed Quelea","Quelea quelea"
"orabis1","Northern Red Bishop","Euplectes franciscanus"
"redbis","Southern Red Bishop","Euplectes orix"
"dobfin1","Double-barred Finch","Stizoptera bichenovii"
"zebfin2","Zebra Finch","Taeniopygia guttata"
"javspa","Java Sparrow","Padda oryzivora"
"nutman","Scaly-breasted Munia","Lonchura punctulata"
"whrmun","White-rumped Munia","Lonchura striata"
"goufin3","Gouldian Finch","Chloebia gouldiae"
"comwax","Common Waxbill","Estrilda astrild"
"redava","Red Avadavat","Amandava amandava"
"reccor","Red-cheeked Cordonbleu","Uraeginthus bengalus"
"sibacc","Siberian Accentor","Prunella montanella"
"houspa","House Sparrow","Passer domesticus"
"eutspa","Eurasian Tree Sparrow","Passer montanus"
"x00754","House x Eurasian Tree Sparrow (hybrid)","Passer domesticus x montanus"
"eaywag","Eastern Yellow Wagtail","Motacilla tschutschensis"
"citwag","Citrine Wagtail","Motacilla citreola"
"whiwag","White Wagtail","Motacilla alba"
"retpip","Red-throated Pipit","Anthus cervinus"
"amepip","American Pipit","Anthus rubescens"
"sprpip","Sprague's Pipit","Anthus spragueii"
"comcha","Common Chaffinch","Fringilla coelebs"
"brambl","Brambling","Fringilla montifringilla"
"evegro","Evening Grosbeak","Coccothraustes vespertinus"
"hawfin","Hawfinch","Coccothraustes coccothraustes"
"pingro","Pine Grosbeak","Pinicola enucleator"
"eurbul","Eurasian Bullfinch","Pyrrhula pyrrhula"
"gcrfin","Gray-crowned Rosy-Finch","Leucosticte tephrocotis"
"houfin","House Finch","Haemorhous mexicanus"
"purfin","Purple Finch","Haemorhous purpureus"
"casfin","Cassin's Finch","Haemorhous cassinii"
"eurgre1","European Greenfinch","Chloris chloris"
"origre","Oriental Greenfinch","Chloris sinica"
"yefcan","Yellow-fronted Canary","Crithagra mozambica"
"comred","Common Redpoll","Acanthis flammea"
"hoared","Hoary Redpoll","Acanthis hornemanni"
"x00625","Common x Hoary Redpoll (hybrid)","Acanthis flammea x hornemanni"
"redcro","Red Crossbill","Loxia curvirostra"
"whwcro","White-winged Crossbill","Loxia leucoptera"
"eurgol","European Goldfinch","Carduelis carduelis"
"comcan","Island Canary","Serinus canaria"
"eursis","Eurasian Siskin","Spinus spinus"
"pinsis","Pine Siskin","Spinus pinus"
"lesgol","Lesser Goldfinch","Spinus psaltria"
"amegfi","American Goldfinch","Spinus tristis"
"x00905","Pine Siskin x American Goldfinch (hybrid)","Spinus pinus x tristis"
"laplon","Lapland Longspur","Calcarius lapponicus"
"chclon","Chestnut-collared Longspur","Calcarius ornatus"
"smilon","Smith's Longspur","Calcarius pictus"
"mcclon","Thick-billed Longspur","Rhynchophanes mccownii"
"snobun","Snow Bunting","Plectrophenax nivalis"
"x00919","Lapland Longspur x Snow Bunting (hybrid)","Calcarius lapponicus x Plectrophenax nivalis"
"mckbun","McKay's Bunting","Plectrophenax hyperboreus"
"pinbun","Pine Bunting","Emberiza leucocephalos"
"yebbun","Yellow-breasted Bunting","Emberiza aureola"
"rusbun","Rustic Bunting","Emberiza rustica"
"casspa","Cassin's Sparrow","Peucaea cassinii"
"bacspa","Bachman's Sparrow","Peucaea aestivalis"
"graspa","Grasshopper Sparrow","Ammodramus savannarum"
"chispa","Chipping Sparrow","Spizella passerina"
"clcspa","Clay-colored Sparrow","Spizella pallida"
"x00198","Chipping x Clay-colored Sparrow (hybrid)","Spizella passerina x pallida"
"fiespa","Field Sparrow","Spizella pusilla"
"x00976","Chipping x Field Sparrow (hybrid)","Spizella passerina x pusilla"
"x00200","Clay-colored x Field Sparrow (hybrid)","Spizella pallida x pusilla"
"brespa","Brewer's Sparrow","Spizella breweri"
"bktspa","Black-throated Sparrow","Amphispiza bilineata"
"larspa","Lark Sparrow","Chondestes grammacus"
"larbun","Lark Bunting","Calamospiza melanocorys"
"amtspa","American Tree Sparrow","Spizelloides arborea"
"foxspa","Fox Sparrow","Passerella iliaca"
"daejun","Dark-eyed Junco","Junco hyemalis"
"whcspa","White-crowned Sparrow","Zonotrichia leucophrys"
"gocspa","Golden-crowned Sparrow","Zonotrichia atricapilla"
"x00053","White-crowned x Golden-crowned Sparrow (hybrid)","Zonotrichia leucophrys x atricapilla"
"harspa","Harris's Sparrow","Zonotrichia querula"
"whtspa","White-throated Sparrow","Zonotrichia albicollis"
"x00451","White-crowned x White-throated Sparrow (hybrid)","Zonotrichia leucophrys x albicollis"
"x00720","Golden-crowned x White-throated Sparrow (hybrid)","Zonotrichia atricapilla x albicollis"
"x00039","Dark-eyed Junco x White-throated Sparrow (hybrid)","Junco hyemalis x Zonotrichia albicollis"
"sagspa1","Sagebrush Sparrow","Artemisiospiza nevadensis"
"belspa2","Bell's Sparrow","Artemisiospiza belli"
"vesspa","Vesper Sparrow","Pooecetes gramineus"
"lecspa","LeConte's Sparrow","Ammospiza leconteii"
"seaspa","Seaside Sparrow","Ammospiza maritima"
"nstspa","Nelson's Sparrow","Ammospiza nelsoni"
"sstspa","Saltmarsh Sparrow","Ammospiza caudacuta"
"savspa","Savannah Sparrow","Passerculus sandwichensis"
"baispa","Baird's Sparrow","Centronyx bairdii"
"henspa","Henslow's Sparrow","Centronyx henslowii"
"sonspa","Song Sparrow","Melospiza melodia"
"linspa","Lincoln's Sparrow","Melospiza lincolnii"
"x00474","Song x Lincoln's Sparrow (hybrid)","Melospiza melodia x lincolnii"
"swaspa","Swamp Sparrow","Melospiza georgiana"
"gnttow","Green-tailed Towhee","Pipilo chlorurus"
"spotow","Spotted Towhee","Pipilo maculatus"
"eastow","Eastern Towhee","Pipilo erythrophthalmus"
"x00446","Spotted x Eastern Towhee (hybrid)","Pipilo maculatus x erythrophthalmus"
"yebcha","Yellow-breasted Chat","Icteria virens"
"yehbla","Yellow-headed Blackbird","Xanthocephalus xanthocephalus"
"boboli","Bobolink","Dolichonyx oryzivorus"
"wesmea","Western Meadowlark","Sturnella neglecta"
"easmea","Eastern Meadowlark","Sturnella magna"
"x00827","Western x Eastern Meadowlark (hybrid)","Sturnella neglecta x magna"
"orcori","Orchard Oriole","Icterus spurius"
"hooori","Hooded Oriole","Icterus cucullatus"
"stbori","Streak-backed Oriole","Icterus pustulatus"
"bulori","Bullock's Oriole","Icterus bullockii"
"balori","Baltimore Oriole","Icterus galbula"
"x00013","Bullock's x Baltimore Oriole (hybrid)","Icterus bullockii x galbula"
"scoori","Scott's Oriole","Icterus parisorum"
"rewbla","Red-winged Blackbird","Agelaius phoeniceus"
"shicow","Shiny Cowbird","Molothrus bonariensis"
"brocow","Bronzed Cowbird","Molothrus aeneus"
"bnhcow","Brown-headed Cowbird","Molothrus ater"
"rusbla","Rusty Blackbird","Euphagus carolinus"
"brebla","Brewer's Blackbird","Euphagus cyanocephalus"
"comgra","Common Grackle","Quiscalus quiscula"
"grtgra","Great-tailed Grackle","Quiscalus mexicanus"
"ovenbi1","Ovenbird","Seiurus aurocapilla"
"woewar1","Worm-eating Warbler","Helmitheros vermivorum"
"louwat","Louisiana Waterthrush","Parkesia motacilla"
"norwat","Northern Waterthrush","Parkesia noveboracensis"
"gowwar","Golden-winged Warbler","Vermivora chrysoptera"
"buwwar","Blue-winged Warbler","Vermivora cyanoptera"
"x00669","Golden-winged x Blue-winged Warbler (hybrid)","Vermivora chrysoptera x cyanoptera"
"brewar","Brewster's Warbler (hybrid)","Vermivora chrysoptera x cyanoptera (F1 hybrid)"
"lawwar","Lawrence's Warbler (hybrid)","Vermivora chrysoptera x cyanoptera (F2 backcross)"
"bawwar","Black-and-white Warbler","Mniotilta varia"
"prowar","Prothonotary Warbler","Protonotaria citrea"
"swawar","Swainson's Warbler","Limnothlypis swainsonii"
"tenwar","Tennessee Warbler","Leiothlypis peregrina"
"orcwar","Orange-crowned Warbler","Leiothlypis celata"
"lucwar","Lucy's Warbler","Leiothlypis luciae"
"naswar","Nashville Warbler","Leiothlypis ruficapilla"
"x01013","Tennessee x Nashville Warbler (hybrid)","Leiothlypis peregrina x ruficapilla"
"x00819","Orange-crowned x Nashville Warbler (hybrid)","Leiothlypis celata x ruficapilla"
"virwar","Virginia's Warbler","Leiothlypis virginiae"
"conwar","Connecticut Warbler","Oporornis agilis"
"macwar","MacGillivray's Warbler","Geothlypis tolmiei"
"mouwar","Mourning Warbler","Geothlypis philadelphia"
"x00699","MacGillivray's x Mourning Warbler (hybrid)","Geothlypis tolmiei x philadelphia"
"kenwar","Kentucky Warbler","Geothlypis formosa"
"comyel","Common Yellowthroat","Geothlypis trichas"
"x00749","Mourning Warbler x Common Yellowthroat (hybrid)","Geothlypis philadelphia x trichas"
"hoowar","Hooded Warbler","Setophaga citrina"
"amered","American Redstart","Setophaga ruticilla"
"kirwar","Kirtland's Warbler","Setophaga kirtlandii"
"camwar","Cape May Warbler","Setophaga tigrina"
"cerwar","Cerulean Warbler","Setophaga cerulea"
"norpar","Northern Parula","Setophaga americana"
"magwar","Magnolia Warbler","Setophaga magnolia"
"x00820","Nashville x Magnolia Warbler (hybrid)","Leiothlypis ruficapilla x Setophaga magnolia"
"babwar","Bay-breasted Warbler","Setophaga castanea"
"bkbwar","Blackburnian Warbler","Setophaga fusca"
"yelwar","Yellow Warbler","Setophaga petechia"
"chswar","Chestnut-sided Warbler","Setophaga pensylvanica"
"x00772","Magnolia x Chestnut-sided Warbler (hybrid)","Setophaga magnolia x pensylvanica"
"bkpwar","Blackpoll Warbler","Setophaga striata"
"btbwar","Black-throated Blue Warbler","Setophaga caerulescens"
"x00978","Magnolia x Black-throated Blue Warbler (hybrid)","Setophaga magnolia x caerulescens"
"palwar","Palm Warbler","Setophaga palmarum"
"pinwar","Pine Warbler","Setophaga pinus"
"yerwar","Yellow-rumped Warbler","Setophaga coronata"
"x00773","Magnolia x Yellow-rumped Warbler (hybrid)","Setophaga magnolia x coronata"
"x00461","Palm x Yellow-rumped Warbler (hybrid)","Setophaga palmarum x coronata"
"yetwar","Yellow-throated Warbler","Setophaga dominica"
"prawar","Prairie Warbler","Setophaga discolor"
"grawar","Grace's Warbler","Setophaga graciae"
"btywar","Black-throated Gray Warbler","Setophaga nigrescens"
"towwar","Townsend's Warbler","Setophaga townsendi"
"x00867","Black-throated Gray x Townsend's Warbler (hybrid)","Setophaga nigrescens x townsendi"
"herwar","Hermit Warbler","Setophaga occidentalis"
"x00059","Townsend's x Hermit Warbler (hybrid)","Setophaga townsendi x occidentalis"
"btnwar","Black-throated Green Warbler","Setophaga virens"
"x00664","Townsend's x Black-throated Green Warbler (hybrid)","Setophaga townsendi x virens"
"canwar","Canada Warbler","Cardellina canadensis"
"wlswar","Wilson's Warbler","Cardellina pusilla"
"paired","Painted Redstart","Myioborus pictus"
"heptan","Hepatic Tanager","Piranga flava"
"sumtan","Summer Tanager","Piranga rubra"
"scatan","Scarlet Tanager","Piranga olivacea"
"westan","Western Tanager","Piranga ludoviciana"
"norcar","Northern Cardinal","Cardinalis cardinalis"
"pyrrhu","Pyrrhuloxia","Cardinalis sinuatus"
"robgro","Rose-breasted Grosbeak","Pheucticus ludovicianus"
"bkhgro","Black-headed Grosbeak","Pheucticus melanocephalus"
"x00448","Rose-breasted x Black-headed Grosbeak (hybrid)","Pheucticus ludovicianus x melanocephalus"
"blugrb1","Blue Grosbeak","Passerina caerulea"
"lazbun","Lazuli Bunting","Passerina amoena"
"indbun","Indigo Bunting","Passerina cyanea"
"ixlbun","Lazuli x Indigo Bunting (hybrid)","Passerina amoena x cyanea"
"varbun","Varied Bunting","Passerina versicolor"
"paibun","Painted Bunting","Passerina ciris"
"dickci","Dickcissel","Spiza americana"
"reccar","Red-crested Cardinal","Paroaria coronata"
"saffin","Saffron Finch","Sicalis flaveola"
"lessee2","Lesson's Seedeater","Sporophila bouvronides"
